time x1 y1 x2 y2
4.459999999999999964e+00 -7.986018874997417027e-01 -6.018596391866212203e-01 -1.471685296029509704e+00 1.377069400758205164e-01
4.469999999999999751e+00 -8.365650472668890725e-01 -5.478676132893306461e-01 -1.559087652925321255e+00 1.434796831634359560e-01
4.480000000000000426e+00 -8.679721042105881246e-01 -4.966129542332176627e-01 -1.629724059452900775e+00 1.512558277624220238e-01
4.490000000000000213e+00 -8.940926828326111186e-01 -4.478819872524277823e-01 -1.687009373403847823e+00 1.614480725784963600e-01
4.500000000000000000e+00 -9.158928411875405518e-01 -4.014228487037261872e-01 -1.733717933580838810e+00 1.740440211088573608e-01
4.509999999999999787e+00 -9.341018696537077837e-01 -3.570065785240482126e-01 -1.772009090343156235e+00 1.888061086832792390e-01
4.520000000000000462e+00 -9.492767224178196850e-01 -3.144418933216145406e-01 -1.803537464854215511e+00 2.054028757508631342e-01
4.530000000000000249e+00 -9.618513283552432291e-01 -2.735726999195167708e-01 -1.829569977727888652e+00 2.234829765704633431e-01
4.540000000000000036e+00 -9.721713076349537408e-01 -2.342711006747186520e-01 -1.851083649113241858e+00 2.427122281714299834e-01
4.549999999999999822e+00 -9.805177458404970015e-01 -1.964305223020866298e-01 -1.868840279221058776e+00 2.627895520504406335e-01
4.560000000000000497e+00 -9.871234598200525623e-01 -1.599602296600284856e-01 -1.883441365981193050e+00 2.834517808842383357e-01
4.570000000000000284e+00 -9.921842728865805094e-01 -1.247812831979522863e-01 -1.895367945942552312e+00 3.044730152372799870e-01
4.580000000000000071e+00 -9.958669903781763866e-01 -9.082366142758853400e-02 -1.905009463292294036e+00 3.256615891439086363e-01
4.589999999999999858e+00 -9.983151745812555156e-01 -5.802423804581395561e-02 -1.912684803124480748e+00 3.468562164067616194e-01
4.600000000000000533e+00 -9.996534276701014576e-01 -2.632535939768570685e-02 -1.918657755215803506e+00 3.679220831460446872e-01
4.610000000000000320e+00 -9.999906421057332961e-01 4.326164694412610277e-03 -1.923148508336651963e+00 3.887472281339401925e-01
4.620000000000000107e+00 -9.994225202778230788e-01 3.397978754383589040e-02 -1.926342296265006304e+00 4.092393362349651675e-01
4.629999999999999893e+00 -9.980335651146566844e-01 6.268175894571267892e-02 -1.928395981744896126e+00 4.293229646522468412e-01
4.639999999999999680e+00 -9.958986792281956379e-01 9.047552548361069424e-02 -1.929443132725910282e+00 4.489371738417760604e-01
4.650000000000000355e+00 -9.930844684219078955e-01 1.174020382241151433e-01 -1.929597984801800337e+00 4.680335166138466785e-01
4.660000000000000142e+00 -9.896503177678387386e-01 1.434999949199158853e-01 -1.928958572339057653e+00 4.865743351063692712e-01
4.669999999999999929e+00 -9.856492898399102920e-01 1.688060349575229713e-01 -1.927609232845063136e+00 5.045313181486001941e-01
4.679999999999999716e+00 -9.811288818954734259e-01 1.933548993704017060e-01 -1.925622634138201672e+00 5.218842770133336195e-01
4.690000000000000391e+00 -9.761316698317564766e-01 2.171795643044408530e-01 -1.923061434726425656e+00 5.386201036838512701e-01
4.700000000000000178e+00 -9.706958603385685835e-01 2.403113537092371188e-01 -1.919979659650847825e+00 5.547318816065804903e-01
4.709999999999999964e+00 -9.648557680035796391e-01 2.627800352961056074e-01 -1.916423853620819351e+00 5.702181240794272910e-01
4.719999999999999751e+00 -9.586422306640859370e-01 2.846139026600516542e-01 -1.912434058302126427e+00 5.850821198326614514e-01
4.730000000000000426e+00 -9.520829736812488342e-01 3.058398457138480908e-01 -1.908044649559697437e+00 5.993313690184708387e-01
4.740000000000000213e+00 -9.452029317970810363e-01 3.264834110980258108e-01 -1.903285062209989054e+00 6.129770958163168748e-01
4.750000000000000000e+00 -9.380245356545161561e-01 3.465688539239055732e-01 -1.898180423636093295e+00 6.260338262805664744e-01
4.759999999999999787e+00 -9.305679688006039951e-01 3.661191820190771162e-01 -1.892752112911595397e+00 6.385190219995720007e-01
4.770000000000000462e+00 -9.228513999700060921e-01 3.851561937362552035e-01 -1.887018258471912180e+00 6.504527616872289864e-01
4.780000000000000249e+00 -9.148911946013538188e-01 4.037005103302543363e-01 -1.880994184576819883e+00 6.618574640627932215e-01
4.790000000000000036e+00 -9.067021088294736630e-01 4.217716038855453542e-01 -1.874692814614324021e+00 6.727576463543397667e-01
4.799999999999999822e+00 -8.982974685899622891e-01 4.393878217757812288e-01 -1.868125037548310718e+00 6.831797135366435292e-01
