time x1 y1 x2 y2
5.299999999999999822e+00 -2.681183345659550743e-01 9.737620647106656202e-01 -1.127900643162998540e+00 1.503737896068604085e+00
5.310000000000000497e+00 -2.466930011682667012e-01 9.794092929794946389e-01 -1.097783176123058313e+00 1.523234185840626864e+00
5.320000000000000284e+00 -2.244946808577419073e-01 9.847345521847908900e-01 -1.066479597558205761e+00 1.542552981468830353e+00
5.330000000000000071e+00 -2.014786162730891339e-01 9.897001400346882027e-01 -1.033957483649462938e+00 1.561608292950652288e+00
5.339999999999999858e+00 -1.775995040807543945e-01 9.942627500566790788e-01 -1.000188559290932311e+00 1.580306473893413832e+00
5.350000000000000533e+00 -1.528118126168896695e-01 9.983729513186645477e-01 -9.651495330143852192e-01 1.598545783109141860e+00
5.360000000000000320e+00 -1.270701660415899104e-01 1.001974636855725409e+00 -9.288230451085759398e-01 1.616215893128697623e+00
5.370000000000000107e+00 -1.003298092423073190e-01 1.005004442466500780e+00 -8.911987519559481097e-01 1.633197339155891825e+00
5.379999999999999893e+00 -7.254717054448889257e-02 1.007391139551062853e+00 -8.522745740451999064e-01 1.649360902258029782e+00
5.389999999999999680e+00 -4.368054243022109762e-02 1.009055008516880569e+00 -8.120581399333407502e-01 1.664566921189208681e+00
5.400000000000000355e+00 -1.369090386526344849e-02 1.009907203237679685e+00 -7.705684634744753847e-01 1.678664528251771593e+00
5.410000000000000142e+00 1.745708865037374005e-02 1.009849122421687895e+00 -7.278378966129669392e-01 1.691490806109911871e+00
5.419999999999999929e+00 4.979391082720154016e-02 1.008771810889129039e+00 -6.839144044394894761e-01 1.702869864559152013e+00
5.429999999999999716e+00 8.334374787897366743e-02 1.006555423059001919e+00 -6.388642121645988770e-01 1.712611838970437006e+00
5.440000000000000391e+00 1.181228046765090411e-01 1.003068792763166073e+00 -5.927748737813791635e-01 1.720511815422934632e+00
5.450000000000000178e+00 1.541373150836840566e-01 9.981691680766306973e-01 -5.457588072880843466e-01 1.726348691195045859e+00
5.459999999999999964e+00 1.913812219074671472e-01 9.917021871011502121e-01 -4.979573281134144769e-01 1.729883982768795070e+00
5.469999999999999751e+00 2.298335104453637090e-01 9.835021898686148178e-01 -4.495451859380212856e-01 1.730860595789370127e+00
5.480000000000000426e+00 2.694551997293705425e-01 9.733929809377119824e-01 -4.007355634168971448e-01 1.729001570746895755e+00
5.490000000000000213e+00 3.101860301060090364e-01 9.611891732261002019e-01 -3.517854186664399196e-01 1.724008811810546327e+00
5.500000000000000000e+00 3.519409379491352241e-01 9.466982498111439215e-01 -3.030009339707088745e-01 1.715561790633655992e+00
5.509999999999999787e+00 3.946064814887237926e-01 9.297234668260716539e-01 -2.547426551948260842e-01 1.703316188281184917e+00
5.520000000000000462e+00 4.380374762548691625e-01 9.100676729761720818e-01 -2.074296525388396595e-01 1.686902395196288706e+00
5.530000000000000249e+00 4.820542074894100248e-01 8.875380223076398956e-01 -1.615416887388291811e-01 1.665923737977043739e+00
5.540000000000000036e+00 5.264406893405487731e-01 8.619513910927042444e-01 -1.176179424469396828e-01 1.639954269506421092e+00
5.549999999999999822e+00 5.709444942028957248e-01 8.331400749810319306e-01 -7.625032845701451567e-02 1.608536013532561482e+00
5.560000000000000497e+00 6.152786096503584101e-01 8.009570728239571169e-01 -3.806896990447605766e-02 1.571175834144297401e+00
5.570000000000000284e+00 6.591255012342293051e-01 7.652800622143021148e-01 -3.717110235567533394e-03 1.527342836806986126e+00
5.580000000000000071e+00 7.021429834361185840e-01 7.260132442396809438e-01 2.618691346733648118e-02 1.476468700261128753e+00
5.589999999999999858e+00 7.439706415689169017e-01 6.830868791621853564e-01 5.110145979827329654e-02 1.417955776961295378e+00
5.600000000000000533e+00 7.842346649412387238e-01 6.364558038894004843e-01 7.062440576430917272e-02 1.351200791977764215e+00
5.610000000000000320e+00 8.225487045569619404e-01 5.861003571331993012e-01 8.455826461251425563e-02 1.275643764432986771e+00
5.620000000000000107e+00 8.585097279913812551e-01 5.320348174172104816e-01 9.296142893231928994e-02 1.190848753068071364e+00
5.629999999999999893e+00 8.916913734889845289e-01 4.743274127070122859e-01 9.616451341548393206e-02 1.096611122040300978e+00
5.639999999999999680e+00 9.216417539427389505e-01 4.131300974140613702e-01 9.473506360029604334e-02 9.930657192436805891e-01
5.650000000000000355e+00 9.478942295894309256e-01 3.487069392929528777e-01 8.939123276346827573e-02 8.807526181973504009e-01
5.660000000000000142e+00 9.699944904675312785e-01 2.814439348478383618e-01 8.088868782496116960e-02 7.606003515922155067e-01
5.669999999999999929e+00 9.875367408027189153e-01 2.118281982285256659e-01 6.991822653429469181e-02 6.338190302045412228e-01
5.679999999999999716e+00 1.000193891271148994e+00 1.404000707402844883e-01 5.704292776903951978e-02 5.017396064197374717e-01
5.690000000000000391e+00 1.007728729056536432e+00 6.769644476704528291e-02 4.268051451069854174e-02 3.656594350894851186e-01
5.700000000000000178e+00 1.009983383911335242e+00 -5.793463817839933361e-03 2.711707360810755585e-02 2.267443096103051448e-01
5.709999999999999964e+00 1.006854650367767778e+00 -7.964742954295551958e-02 1.053218258067967206e-02 8.600745321830442769e-02
5.719999999999999751e+00 9.982667183199213090e-01 -1.535042640931352509e-01 -6.980887598753704459e-03 -5.564083479100831453e-02
5.730000000000000426e+00 9.841506419771389735e-01 -2.270407758443079571e-01 -2.541116502969120727e-02 -1.972925350038176040e-01
5.740000000000000213e+00 9.644344874672752255e-01 -2.999435269908892754e-01 -4.485153625218218920e-02 -3.379135457499952699e-01
5.750000000000000000e+00 9.390417795783031485e-01 -3.718878005614242310e-01 -6.555573661989211320e-02 -4.762133988027804632e-01
5.759999999999999787e+00 9.078897568134914886e-01 -4.425338286200720117e-01 -8.803805467329373080e-02 -6.105451208213475978e-01
5.770000000000000462e+00 8.708756701060458294e-01 -5.115423415684625663e-01 -1.132080358249565322e-01 -7.388730691903671044e-01
5.780000000000000249e+00 8.278450853049591496e-01 -5.785952944299018741e-01 -1.424974316817624320e-01 -8.588369753552667074e-01
5.790000000000000036e+00 7.785565120805956196e-01 -6.433892736880972851e-01 -1.778914354244575113e-01 -9.679001729093272832e-01
5.799999999999999822e+00 7.226845819546814376e-01 -7.055685615197061500e-01 -2.217609835139081609e-01 -1.063510699115597591e+00
5.810000000000000497e+00 6.599135269731613018e-01 -7.646006388421622280e-01 -2.764502474353797146e-01 -1.143180725449198354e+00
5.820000000000000284e+00 5.901406871785611630e-01 -8.196547866854774211e-01 -3.436847083337769559e-01 -1.204453605155889839e+00
5.830000000000000071e+00 5.137482791681978744e-01 -8.695761643764825521e-01 -4.239476894345841629e-01 -1.244844429043360901e+00
5.839999999999999858e+00 4.318525201221489196e-01 -9.130188392712107470e-01 -5.159755050051227920e-01 -1.261905690246331480e+00
5.850000000000000533e+00 3.464333939382785443e-01 -9.487275180811429731e-01 -6.164767188729370906e-01 -1.253529280946602764e+00
5.860000000000000320e+00 2.602840217707445003e-01 -9.758853559772513453e-01 -7.201455336812109254e-01 -1.218491800236840117e+00
5.870000000000000107e+00 1.767718809581069750e-01 -9.944102282773105150e-01 -8.200315490683518505e-01 -1.157145970778724831e+00
5.879999999999999893e+00 9.944943609374315430e-02 -1.005091940899257574e+00 -9.083274291099100450e-01 -1.072067981094971811e+00
5.889999999999999680e+00 3.158039317612063718e-02 -1.009506155883579392e+00 -9.775815544828897474e-01 -9.683702421697347740e-01
5.900000000000000355e+00 -2.432702831069473090e-02 -1.009706985067237550e+00 -1.022148921828962997e+00 -8.533373306722180640e-01
5.910000000000000142e+00 -6.685881633063694984e-02 -1.007784648959720197e+00 -1.039386195206349006e+00 -7.352218170527683450e-01
5.919999999999999929e+00 -9.578738087307792082e-02 -1.005447550927185851e+00 -1.029977336822907485e+00 -6.215346360591708086e-01
5.929999999999999716e+00 -1.118849358871301242e-01 -1.003783722283606572e+00 -9.971781527016821967e-01 -5.176192231044270953e-01
5.940000000000000391e+00 -1.165604678659926535e-01 -1.003251542401436325e+00 -9.454504403817240998e-01 -4.261541386099533257e-01
5.950000000000000178e+00 -1.114875815339685244e-01 -1.003827933046150367e+00 -8.792290293067752671e-01 -3.475710707035803981e-01
5.959999999999999964e+00 -9.833804241038099359e-02 -1.005201288008970906e+00 -8.022377827517197524e-01 -2.808911641342621834e-01
5.969999999999999751e+00 -7.864161345072553932e-02 -1.006933710148720129e+00 -7.173181560408133928e-01 -2.245065416881844023e-01
5.980000000000000426e+00 -5.373713669846682389e-02 -1.008569442398216998e+00 -6.265388353053726878e-01 -1.767051421225990238e-01
5.990000000000000213e+00 -2.477252555623466607e-02 -1.009696153294428411e+00 -5.313892107001989551e-01 -1.359458832894678837e-01
6.000000000000000000e+00 7.274763809717700938e-03 -1.009973800556981161e+00 -4.329566716847688124e-01 -1.009653939938384148e-01
6.009999999999999787e+00 4.157088350725329784e-02 -1.009144123326507936e+00 -3.320581982308896118e-01 -7.079381066097023556e-02
6.020000000000000462e+00 7.739786255029612594e-02 -1.007030074462846203e+00 -2.293292162278653401e-01 -4.473152456047024828e-02
6.030000000000000249e+00 1.141266199007609922e-01 -1.003531322196784981e+00 -1.252818191095229627e-01 -2.231595372222872076e-02
6.040000000000000036e+00 1.511909958925373998e-01 -9.986196887509392051e-01 -2.034370707123225874e-02 -3.292684355332808899e-03
6.049999999999999822e+00 1.880627244131954923e-01 -9.923368438621466003e-01 8.511415195847704673e-02 1.240272011925436235e-02
6.060000000000000497e+00 2.242271934224288610e-01 -9.847954943692119878e-01 1.907560963687293110e-01 2.464974221473548166e-02
6.070000000000000284e+00 2.591597726533581558e-01 -9.761845175161608656e-01 2.962631731768201049e-01 3.313373639070060772e-02
6.080000000000000071e+00 2.923023375914394206e-01 -9.667778149288388523e-01 4.013140227576501018e-01 3.732200704964494520e-02
